population_share,accessibility_share
0.0,0.0
3.346481528045367e-06,8.35924868615259e-20
4.089730327290433e-06,3.1524475750540625e-18
4.863535026694813e-06,2.0038891967145656e-17
5.856656302869834e-06,4.171139824378251e-17
7.110697998416898e-06,6.907787117102083e-17
9.168012002476384e-06,1.13973848868446e-16
1.1475308249284692e-05,1.6534198773239724e-16
1.2282511711174553e-05,1.887535597999157e-16
1.3769119927041493e-05,2.412261236071924e-16
1.560039081298206e-05,3.058641885561926e-16
1.6199319317725644e-05,3.2700446872262985e-16
1.770572242375873e-05,3.8463364936285463e-16
2.8890208094544976e-05,1.1016424754853718e-15
3.367572223289046e-05,1.6354658834700383e-15
3.7482534355399716e-05,2.101837821114237e-15
3.977681275077618e-05,2.6762036966107424e-15
4.054500095718899e-05,2.8938495476503565e-15
4.2734146860469235e-05,3.584129568807884e-15
4.711450301379537e-05,6.418034045473672e-15
4.9909036957174415e-05,8.226801594639892e-15
5.0834696365449165e-05,8.827579376533082e-15
5.4370668099795704e-05,1.1122519865883339e-14
5.5702993687362825e-05,1.218879932888246e-14
5.592699298126253e-05,1.2368069207837274e-14
5.8156241387912605e-05,1.4313654939792365e-14
6.388760017886011e-05,2.1435321358254233e-14
6.49470954576631e-05,2.2914911273535136e-14
6.824616240974868e-05,2.8199123033478167e-14
7.007145301714439e-05,3.2528771942047787e-14
7.354171292031952e-05,4.297333208690245e-14
7.553641902191015e-05,4.9204966984708345e-14
9.767250289097402e-05,1.4030838417390382e-13
0.00010048385246389951,1.5202594497491715e-13
0.00010653986380348438,1.8198017652602128e-13
0.00010796453233440041,1.9018939007664882e-13
0.0001086964487708504,1.9575460311760087e-13
0.00011046565543149088,2.0920697484966883e-13
0.0001114992134475284,2.1706575525543666e-13
0.00012246175825285287,3.733225876609691e-13
0.00012509360937460249,4.156190484902918e-13
0.00012546154039711423,4.221472850947849e-13
0.00012768734544406563,4.655870150284339e-13
0.00012883842220310482,4.914207950629159e-13
0.00012993022252466013,5.179390321993189e-13
0.0001323478890687389,5.766606257607669e-13
0.00013583283451442163,6.618028000992244e-13
0.0001390043544365445,7.413074354279539e-13
0.00014357217528044837,8.599423004972149e-13
0.0001439367262140166,8.696949698366979e-13
0.0001446191649625002,8.879657541217705e-13
0.000168419240739611,1.5816729591107251e-12
0.00016952337089635804,1.6141810694450406e-12
0.0001756197907040817,1.8060282479354678e-12
0.00018152001803355727,2.0001195811363605e-12
0.00018416945331589695,2.087274261365351e-12
0.00018490597821362335,2.1115026667051285e-12
0.00018800915992956674,2.2142841766730117e-12
0.00018937749952050733,2.2645916354511305e-12
0.00019272831650035257,2.3983892566923203e-12
0.00019604589214948704,2.532325987602808e-12
0.0001966803272993816,2.5582024783312098e-12
0.0001972174824923074,2.5824375985757786e-12
0.00020158932238495625,2.7832146683327854e-12
0.00020517919203166232,2.9496175343935417e-12
0.00020792729094618352,3.08659468289634e-12
0.00020864838961630344,3.1231279038816705e-12
0.0002095001112288323,3.1663864769479136e-12
0.00022121595747492004,3.7899037191500365e-12
0.00022460779323448188,3.988549028743671e-12
0.00023304362000624353,4.482599312879873e-12
0.00023432500113986516,4.557644323912067e-12
0.0002665421031627817,6.479611892590066e-12
0.00026998024817609313,6.684720446652326e-12
0.00027128191980660383,6.762373944385615e-12
0.00027211706933515795,6.812691822651339e-12
0.0002755146102774711,7.0233134219889126e-12
0.00027700227451034326,7.115568527721522e-12
0.00027745938076581143,7.1457153953645454e-12
0.00027889394380393567,7.240933955955727e-12
0.00028006200147991805,7.318539403718253e-12
0.000283454307895555,7.551734929930416e-12
0.00028860084411135256,7.918519298665986e-12
0.0002925373658803768,8.20204669969305e-12
0.00029582225209350346,8.438640145715908e-12
0.0002990914655529991,8.67622656667522e-12
0.00030117363023188866,8.828832522000227e-12
0.0003121078668668225,9.637877155045617e-12
0.00031318777675708474,9.718767411071965e-12
0.00031426433649066516,9.799406724835293e-12
0.0003156302855029921,9.901722636859427e-12
0.00031613965408347846,9.93987670439678e-12
0.0003169400301369817,9.999828580445913e-12
