city,n_cells,socio_variable_used,delta_zero_band,delta_p10,delta_p50,delta_p90,delta_min,delta_max
dublin,108,wealth_index,2345.6734243105184,-2592.1178278763996,7339.6729031410705,171014.92090390038,-12122.703221071959,272197.4159117086
paris,809,income_median,5913.300693752268,1513.3744319436478,452487.1991629659,2340554.182832237,-8178.6554326227815,4104096.798293505
warsaw,413,wealth_index,6706.126694869987,2855.9039739216782,13657.125260188113,104796.83016475977,-194369.01665788362,217142.97828277852
