city,model,median_core,median_extended,delta_extended_minus_core
dublin,A,124254.9141505055,89417.37565205293,-34837.53849845257
dublin,B,1769.932200030685,259.55942935769974,-1510.372770672985
dublin,C,15154.961524338578,2315.517223973892,-12839.444300364685
paris,A,1782719.3451140162,250237.87863795384,-1532481.4664760623
paris,B,7036.0383203038,20.40374904840033,-7015.634571255399
paris,C,121125.73256805305,287.952367695514,-120837.78020035753
warsaw,A,305642.67555651336,151306.0210333229,-154336.65452319046
warsaw,B,1837.734083770222,8.008717672536978,-1829.725366097685
warsaw,C,23921.867984610544,1711.979843560124,-22209.888141050422
