population_share,accessibility_share
0.0,0.0
1.7538751872261762e-06,2.89820363534464e-10
3.5077503744523523e-06,6.361396825879112e-10
5.261625561678529e-06,1.403967050970452e-09
2.9815878182844998e-05,4.4917524208002505e-08
0.008130965367980553,0.000106708212907086
0.013687241961113079,0.00032603913455031466
0.024171907830351162,0.0007501567342691613
0.024719116888765727,0.0007763424863060312
0.03144172048140366,0.0011446989229820415
0.04349610464320917,0.0018194056309649754
0.04893662547398477,0.0022076820403202067
0.06146981756190303,0.0031169151251322354
0.06997260446957553,0.003781421762414147
0.07662329917953718,0.004320754746002156
0.07662505305472442,0.004320910199201477
0.0845578305265484,0.005089175811640506
0.08919156877119996,0.005564166481174607
0.08936695628992258,0.005582247872594265
0.08965108407025323,0.005611566319896624
0.09945524636684755,0.006627437213418123
0.10416440124454983,0.0071213226341024765
0.106802229526138,0.007405262356998156
0.1182795887513461,0.008678778296816583
0.12367626270244104,0.00930862377468652
0.13181248969598328,0.010354497770595139
0.13537636407642686,0.010860552006999272
0.14689932405650286,0.012516404043510508
0.16197563516589905,0.014707973099109583
0.16502387024129814,0.015187086704399652
0.17856554056187146,0.0174124285873961
0.184912814864443,0.01850672454507507
0.1942399231101118,0.020133879335000996
0.20311277768228903,0.021745429455910854
0.20668191368829428,0.022397927938771933
0.21419551499037123,0.02379369004441307
0.22443639220858486,0.025715048999704334
0.233168936765784,0.02745345725147339
0.23319349101840517,0.027458372056638963
0.243164271457786,0.029460466741648386
0.25860538860612525,0.03263669093954262
0.26799212860815974,0.034728786494882126
0.2774455158673088,0.03684655431366253
0.2834402612572479,0.03819059176905294
0.29125728296671494,0.040048809188543144
0.3013332959173293,0.042577622424506564
0.3120775353142769,0.045290191061701485
0.3144224664395983,0.04590438946996257
0.3183090538544915,0.04696005404018731
0.32454057239470613,0.048852088034238336
0.3357811584696387,0.0523926624018725
0.3494420923029434,0.05683690250673874
0.36154032334442954,0.06081906527382552
0.373617507883669,0.06511179797416462
0.3813187738307791,0.06790421757049143
0.3885552628532743,0.07053091495774769
0.3963757923131158,0.07409403009742664
0.4062974642472543,0.07882501949469914
0.4160174405348618,0.08367393414405393
0.4278122511689578,0.08964913353301629
0.4409242220686607,0.09652452357243853
0.4497269216333489,0.1012795284897727
0.45815429190797063,0.10605223444122026
0.47231332629444756,0.11433029438198467
0.49444723115724193,0.12766164522899653
0.5164531031313687,0.1416030738543567
0.5263537285632606,0.14792770711794628
0.5276866737055524,0.1488091558272501
0.5344268160500626,0.15330893890417907
0.5439170346881435,0.16018455384643973
0.5547121364655205,0.16817714444867757
0.565261695716686,0.17601967101087967
0.5756586678265628,0.18406079328188393
0.5839404664606448,0.19057029958392122
0.5916715482859378,0.19676787558026787
0.607523072228088,0.21001753340828977
0.618379559637018,0.22018724564740666
0.6208542775261942,0.2226147631608496
0.6227502166035856,0.22455409257751469
0.6332857448532533,0.23679323363300486
0.6594956556511612,0.26725279605867486
0.6822521862054208,0.2960149339503428
0.7245083010912612,0.35728482258987815
0.7580195942935917,0.40593041699769805
0.7672484855287758,0.4195569091888457
0.7802534700420579,0.44033243086598833
0.7894472837734975,0.45630337969195234
0.7913958391065058,0.4599207321865457
0.796282135378118,0.46963691524048173
0.8055373347411104,0.4885437636568651
0.8181056043327732,0.5145048817548895
0.8182880073522448,0.5148945151886938
0.828720056965866,0.5374297903253187
0.8366528344376901,0.5558953661944325
0.8436771045625309,0.5727727269132822
0.8529428271766468,0.5950849773194762
0.8770393183739472,0.6533271225175117
0.8859946050799241,0.6755630969417055
0.8915877130519884,0.689719824594804
0.9002571181024474,0.7117486382919702
0.910203344289207,0.7377203402957475
0.912172946124462,0.7429251841838552
0.9222892982043825,0.7697534542597044
0.9334404366447666,0.7995242141607405
0.9393965967805867,0.8155222856866426
0.956047887808112,0.8610897561235544
0.973797104702841,0.9111013528151902
0.9799988073648727,0.9295579574999284
0.988669966290519,0.9595430482210248
1.0,1.0
