population_share,accessibility_share
0.0,0.0
7.074837632476334e-07,1.0673419065798217e-13
1.4149675264952669e-06,7.928264414740142e-13
0.00020234035628882317,1.9365885348859955e-09
0.00021931996660676638,2.1722854308912402e-09
0.0002426669307939383,2.5467890445661593e-09
0.0012239469104184059,2.7589520986948004e-08
0.0012246543941816536,2.7608070126746514e-08
0.0012663959362132638,2.872774487111993e-08
0.0012805456114782165,2.9157868286745815e-08
0.0012812530952414642,2.9179391048177274e-08
0.00128549799782095,2.9317234508428124e-08
0.0014305321692867148,3.408776846569876e-08
0.001449634230894401,3.477203787874459e-08
0.0016873487753456058,4.4269351827279246e-08
0.0016880562591088534,4.4300815277326427e-08
0.0017184780609285017,4.56955018740043e-08
0.0017460699276951595,4.7072589268498445e-08
0.0017616345704866074,4.790083375685008e-08
0.001791348888543008,4.964253117576885e-08
0.0017920563723062555,4.968757056810726e-08
0.0018712945537899906,5.494209931505721e-08
0.0023318664836642,9.017857735886082e-08
0.0023325739674274477,9.023420596461801e-08
0.002715322683344417,1.207960743310251e-07
0.002716030167107665,1.2085280684058294e-07
0.0027167376508709126,1.2091258038820034e-07
0.002764139063008504,1.2536999549872177e-07
0.002781118673326447,1.2720120434544712e-07
0.0028865337540503445,1.3863699078779182e-07
0.0028907786566298305,1.3913225376123454e-07
0.0029134181370537547,1.4197201239500345e-07
0.0029141256208170025,1.4206311299503345e-07
0.0029148331045802498,1.421630570493836e-07
0.0030004386399332134,1.547152160598266e-07
0.003057744824756272,1.6367977358564066e-07
0.0030584523085195195,1.6379976550436068e-07
0.003103731269367368,1.7167837037889507e-07
0.0031277857173177877,1.7606835801090752e-07
0.0034603030860441753,2.424540995542108e-07
0.003548031072686882,2.606142462389115e-07
0.0035487385564501295,2.6076264503784255e-07
0.0035494460402133773,2.6091552022386793e-07
0.003635051575566341,2.8086150816270154e-07
0.0036661808611492368,2.881706977252076e-07
0.0036739631825449606,2.900005528152652e-07
0.0037553238153184383,3.093340894124344e-07
0.0037567387828449338,3.096789860442019e-07
0.0038006027761662868,3.2050163424115477e-07
0.0038416368344346497,3.306377975406752e-07
0.003850834123356869,3.3292814084120375e-07
0.0038748885713072883,3.390962528148988e-07
0.0039017729543106986,3.4602398926461493e-07
0.003939269593762823,3.5570207721341144e-07
0.0039399770775260705,3.5589160311351807e-07
0.005091760644093218,6.694226020269575e-07
0.005108032770647914,6.742077008160863e-07
0.005180196114499172,6.956725309474014e-07
0.00518090359826242,6.958958877812e-07
0.0052007131436333535,7.021541659449517e-07
0.005205665529976087,7.037813734428428e-07
0.0052445771369547065,7.171997162185984e-07
0.00524952952329744,7.189354262693434e-07
0.005600441469868266,8.452864823101595e-07
0.0056619925572708105,8.674539459007024e-07
0.0057143463557511355,8.864274838776091e-07
0.005738400803701555,8.952211208718918e-07
0.005755380414019498,9.016991673140894e-07
