city_variant,model,n,q01,q50,q99,range_ratio_q99_to_q01,range_orders_of_magnitude
dublin_core,A,109,3231.4019004696597,124254.9141505055,229825.89112352623,71.12265765831319,1.8520079766569713
dublin_core,B,109,8.818191455882568,1769.932200030685,19388.472438651374,2198.6903477489627,3.34216406986409
dublin_core,C,109,9.046972845566986,15154.961524338578,142768.1235493795,15780.761806899403,4.1981279646875205
dublin_extended,A,751,26.435746852022817,89417.37565205293,367800.23572183884,13912.988264740303,4.143420418813493
dublin_extended,B,751,0.6182986714334044,259.55942935769974,18056.176127411698,29203.00004131011,4.4654274690669205
dublin_extended,C,751,1.813332320087785,2315.517223973892,234248.28031002806,129181.10911886679,5.1111990089742445
paris_core,A,809,359685.6378941329,1782719.3451140162,4366213.67859147,12.138971420028142,1.0841818889195525
paris_core,B,809,23.964711302149574,7036.0383203038,229352.4356202116,9570.423475105217,3.980931155000714
paris_core,C,809,202.25330432572775,121125.73256805305,2773172.9403054975,13711.385084909756,4.137081328192108
paris_extended,A,11526,30.976492665770614,250237.87863795384,3941083.3420138233,127228.19799314356,5.104583376057968
paris_extended,B,11526,0.0006100508944027094,20.40374904840033,60215.75455327507,98706116.33514823,7.994344064607874
paris_extended,C,11526,0.1094008600520745,287.952367695514,2797436.4258218915,25570515.848690037,7.4077394893865165
warsaw_core,A,485,78079.65540974852,305642.67555651336,690349.7234563031,8.841608224747755,0.9465312672312717
warsaw_core,B,485,23.41535584270549,1837.734083770222,46841.015460974355,2000.4400435181335,3.301125539389379
warsaw_core,C,485,755.9175137384358,23921.867984610544,332111.5644819397,439.3489480610945,2.642809590901593
warsaw_extended,A,2127,849.5657614145293,151306.0210333229,960327.0348932636,1130.3739845804478,3.053222153720925
warsaw_extended,B,2127,2.790836066422105e-07,8.008717672536978,44990.13576812047,161206658855.4537,11.20738297695078
warsaw_extended,C,2127,0.08473366553501302,1711.979843560124,415856.91796675685,4907812.205939793,6.6908879363931
