Wariant,Miasto,Kwintyl_L,Kwintyl_P,Udział (%),Liczba przystanków
extended,Warszawa,Q2,Q1,4.27,299
extended,Warszawa,Q3,Q1,4.17,292
extended,Warszawa,Q4,Q1,3.87,271
extended,Warszawa,Q5,Q1,2.5,175
extended,Warszawa,Q1,Q2,5.32,372
extended,Warszawa,Q2,Q2,4.03,282
extended,Warszawa,Q3,Q2,3.82,267
extended,Warszawa,Q4,Q2,3.79,265
extended,Warszawa,Q5,Q2,3.05,213
extended,Warszawa,Q1,Q3,4.59,321
extended,Warszawa,Q2,Q3,3.76,263
extended,Warszawa,Q3,Q3,3.73,261
extended,Warszawa,Q4,Q3,3.99,279
extended,Warszawa,Q5,Q3,3.93,275
extended,Warszawa,Q1,Q4,2.8,196
extended,Warszawa,Q2,Q4,4.2,294
extended,Warszawa,Q3,Q4,4.42,309
extended,Warszawa,Q4,Q4,4.22,295
extended,Warszawa,Q5,Q4,4.36,305
extended,Warszawa,Q1,Q5,2.12,148
extended,Warszawa,Q2,Q5,3.73,261
extended,Warszawa,Q3,Q5,3.86,270
extended,Warszawa,Q4,Q5,4.13,289
extended,Warszawa,Q5,Q5,6.16,431
