Wariant,Miasto,Mediana betw_L (>0),Mediana betw_P (>0),x_min_plot,x_max_plot,y_min_plot,y_max_plot,Skala
core,Paryż,0.000305900540486,4.809476723639384e-05,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
extended,Paryż,4.33400465094789e-05,7.520436329170875e-06,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
core,Dublin,0.0045059165591472,0.0003271631886474,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
extended,Dublin,0.001754505065874,0.0001180771617834,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
core,Warszawa,0.0007765884474967,7.628274639740967e-05,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
extended,Warszawa,0.00058384979091525,4.95174842455939e-05,1.9451135621539066e-09,0.10857443450674578,2.3225675138177438e-10,0.02351210423638571,log-log
