city,extent,socio_variable_used,n_cells,corr_pearson_x_log10y,slope_log10y_per_ses_unit,median_accessibility_C,median_ses_value
dublin,core,wealth_index,108,-0.6911520370434883,-0.046891988823459886,17088.704723434006,3.06
dublin,extended,wealth_index,750,-0.57521712067136,-0.09038127595245847,2311.823072369255,1.3450000000000002
paris,core,income_median,809,-0.6683182826634341,-8.022823092690075e-05,121125.73256805305,23920.0
paris,extended,income_median,11441,-0.5699078490121078,-0.00014592989926518688,295.4918174911146,26830.0
warsaw,core,wealth_index,413,-0.6371517419953096,-3.7001092021522115e-06,28222.8828103196,90501.05631446955
warsaw,extended,wealth_index,431,-0.6270501558281527,-3.0270454945413566e-06,40546.61313047707,89142.06124794403
