population_share,accessibility_share
0.0,0.0
0.0001258353239733818,3.0983376436974313e-13
0.00021767057433835682,1.1762541457589221e-12
0.00028987691622837534,1.099450066365349e-10
0.0003007429191341548,1.2631311987543807e-10
0.0003042480813618256,1.3391450746888025e-10
0.00032317595739124797,1.8603355160519355e-10
0.00037119667991033795,3.182614978102279e-10
0.00037680493947461123,3.3370417765899103e-10
0.0004910732280966794,6.4834877957754e-10
0.0005008876823341576,6.753734693128755e-10
0.0005496094372987818,8.095317504990053e-10
0.0006007848058227755,9.50446204118969e-10
0.0006852592155096418,1.1830515693409636e-09
0.0007886615012259305,1.467775979052534e-09
0.000817403831492831,1.546919713277445e-09
0.0008836513975958092,1.7293363689909597e-09
0.0008934658518332875,1.7563610587262952e-09
0.0009151978576448465,1.8162014431402522e-09
0.0009180019874269831,1.8239227830646337e-09
0.0009236102469912564,1.839365462913397e-09
0.0009246617956595576,1.8422609653850402e-09
0.0009502494799215544,1.9127181921950218e-09
0.0009625175477184023,1.9464990543641912e-09
0.0010056310431187532,2.065214655701558e-09
0.0010347238896084208,2.1529883830910187e-09
0.0010424352465092965,2.1797641343353296e-09
0.0010473424736280356,2.2117068281380662e-09
0.0010634662198753214,2.3166613934899146e-09
0.001113940555953781,3.913920109338453e-09
0.0011174457181814517,4.246625435679171e-09
0.001131466367092135,5.582593237080286e-09
0.0012222500687888087,1.4264406247667196e-08
0.0012373222663677932,1.5708230764018052e-08
0.0012387243312588616,1.5882971392406424e-08
0.0012401263961499297,1.6087094994010555e-08
0.0012688687264168304,2.0492987787435967e-08
0.0012902502160056222,2.388981855754527e-08
0.0012913017646739235,2.4061336237616724e-08
0.0013189925462725228,2.8880501979212514e-08
0.0013228482247229607,2.989542723288204e-08
0.0014013638586227867,5.1422580732761514e-08
0.0014584980029338209,6.972254121766739e-08
0.0014826836223047492,7.958190302406535e-08
0.0015198383419180598,9.556945995530432e-08
0.0017164779428903917,1.8021922317657876e-07
0.0017182305240042272,1.809736938685453e-07
0.0017904368658942457,2.1205964113644933e-07
0.001818127647492845,2.2398116677294262e-07
0.0018370555235222674,2.3213113554001126e-07
0.001922931998100202,2.69108475229064e-07
0.0019334474847832145,2.7363679940445314e-07
0.0019506227796988013,2.8103331826678847e-07
0.001961488782604581,2.8571282652219805e-07
0.002009860021346438,3.0654511998280865e-07
0.002063138487207034,3.2949173780779846e-07
0.002084870493018593,3.3885231450005265e-07
0.0021262314073051086,3.5666818719448413e-07
0.002166540772923323,3.7403134135336014e-07
0.0021879222625121146,3.8324136765566324e-07
0.002202293427645565,3.8943191975277347e-07
0.002290272999560102,4.27333377045043e-07
0.002302190551134183,4.324676674446448e-07
0.0023183142973814685,4.394140678328133e-07
0.0023754484416925025,4.6402861782743903e-07
0.002442747556463782,4.930238719643495e-07
0.0024956755061016113,5.158287747748404e-07
0.00257384062377867,5.495104299447272e-07
0.0025976757269268315,5.597815243256693e-07
0.002634129414094608,5.754911266884243e-07
0.0026418407709954835,5.788147406894335e-07
0.002669531552594083,5.907496065628331e-07
0.0027098409182122972,6.081239262906447e-07
0.0027760884843152753,6.366838223432087e-07
0.002787305003443822,6.41519894299111e-07
0.0028160473337107226,6.53912473886488e-07
0.002944686787466241,7.09381053738407e-07
0.0029909549288714954,7.293334230817657e-07
0.0030256560349254365,7.462820276703841e-07
