city_variant,city,extent,n_cells,weighted_pop_sum,gini_model_A,gini_model_B,gini_model_C,min,p50,p75,p90,p95,max
dublin_core,dublin,core,109,570166.0,0.17138176000538297,0.5186846275205924,0.5074130782736543,6.89926643054168,15154.961524338578,60538.30122833037,105759.97361111279,111872.58185671244,149085.243672156
dublin_extended,dublin,extended,751,1413460.0,0.2542374426139613,0.6317223497441318,0.6636201598432423,0.009561602096873106,2315.517223973892,18460.83828070065,134432.20638110593,181568.04566612895,373112.5400604782
paris_core,paris,core,809,13080818.011421204,0.21031537398313893,0.5854581317660232,0.6434659557450133,0.08981402370849653,121125.73256805305,505010.4961172687,1771556.5306359397,2100931.216340155,3143238.918508078
paris_extended,paris,extended,11526,22398342.335772157,0.3534663005289159,0.7298046535969851,0.6652489943891016,2.260325447472168e-08,287.952367695514,10210.572989233591,338647.7634884284,1221999.9218661247,4684212.250522566
warsaw_core,warsaw,core,485,1851198.0,0.16992994031952513,0.4942338728022543,0.4723021373345462,15.220256985843818,23921.867984610544,53391.268136507395,189200.83261888145,262886.5604841999,403671.2328768779
warsaw_extended,warsaw,extended,2127,2852935.0,0.3115413801416481,0.6639575673591184,0.5653497534635563,7.576831059429182e-05,1711.979843560124,11330.296658976578,44088.88593466642,95709.90837275452,620814.2111596564
